nid,title,timestamp,evolvedTo,evolvedFrom,kind,summary,fullText,webUrl,imageUrl,public,tags,featured
1,Node 1,2012-11-12-20-00-00,"3,14",,inspiration,"I have three tattoos already, but they are all astronomy or physics related. I had the idea that my next tattoo would be more organic.",,#,images/earth-tattoo.png,Y,"tattoo, drawing",Y
2,Node 2,2012-11-12-20-05-00,3,,inspiration,"I began sketching some ideas of what this organic tattoo might look like. I knew I liked flowers, but perhaps organic patterns as well.",,#,images/first-sketches.png,Y,tattoo,Y
3,Node 3,2012-11-12-20-10-00,"4,5,6,10","1,2",idea,The second sketch I did was more rough_,,#,,Y,flowers,Y
4,Node 4,2012-11-12-20-45-00,9,3,sketch,The third sketch I did was exploring more patterns_,,#,,Y,drawing,Y
5,Node 5,2012-11-12-20-20-00,8,3,sketch,"I chose dahlias as my flowers for my wedding, which took place on July 21, 2012.",,#,images/wedding-flowers.png,Y,"dahlia, flower, drawing",Y
6,Node 6,2012-11-12-20-25-00,8,"3,7",sketch,"After my wedding, it hit me that I wanted my tattoo to be meaningful, and that if I chose dahlia flowers, my tattoo could be a reminder of my wedding day and the commitment that I share with my husband.",,#,,Y,wedding,Y
7,Node 7,2012-11-12-20-30-00,6,,idea,I did a lot of research and found many pictures of other people_s flower tattos. These were inspirational as I was thinking about mine.,,#,images/dahlia-tattoo.png,Y,"dahlia, flower",Y
8,Node 8,2012-11-12-20-35-00,9,"5,6",sketch,I spent some time sketching ideas. At first I was very interested in incorporating patterns into the tattoo and not just a flower image.,,#,images/second-sketches.png,N,drawing,N
9,Node 9,2012-11-12-20-40-00,"11,12","4,8",draft,I tried sketching how the tattoo might lay out on my body.,,#,,Y,drawing,Y
10,Node 10,2012-11-12-20-15-00,,3,sketch,I did some sketches exploring different patterns.,,#,,N,,N
11,Node 11,2012-11-12-20-50-00,,9,sketch,"I found this piece of art online, and immediately loved it and thought it was the perfect starting point for my tattoo.",,#,images/dahlia-outline.png,Y,"dahlia, flower",N
12,Node 12,2012-11-12-20-55-00,,9,sketch,I collected many pictures of dahlia flowers online that I thought were good as references.,,#,,N,,Y
13,Node 13,2012-11-12-21-00-00,12,,inspiration,"I finished the first flower by removing the extra graphics from the original artwork I had found, and retracing it to make it my own.",,#,images/finished-first-flower.png,Y,drawing,Y
14,Node 14,2012-11-12-22-00-00,,1,idea,This photo I found of a dahlia online was the one I decided to trace for my second flower.,,#,images/dahlia-photo.png,Y,,Y
15,Node 15,2012-11-12-22-10-00,6,,inspiration,blah blah blah,,#,,Y,photo,Y
